city,lat,lng,population
Sheykh Ḩasan,38.0214,46.1061,2240.0
Sefīdeh Khān,37.8314,46.4022,2213.0
Nowjeh Deh,38.0475,46.0406,2057.0
Zarnaq,37.9811,46.4303,2036.0
Ne‘matābād,38.0122,46.4564,2020.0
Lecheh Gūrāb,37.2797,49.6639,2013.0
Tāzeh Kand,37.98,46.0011,1980.0
Vīshkānank,37.2211,49.7061,1965.0
Kolā Chāh-e Avval,37.3692,49.7053,1926.0
Shādbād-e ‘Olyā,37.9825,46.4208,1884.0
Gīl-e Pardesar,37.2081,49.6653,1865.0
Khvāchekīn,37.3781,49.65,1824.0
Karasht,35.7186,51.8336,1785.0
Golsarak,37.0289,49.6339,1782.0
Chavān,37.985,46.3908,1729.0
Tasīyeh,37.3922,49.7058,1721.0
Gīlovā,37.3092,49.8072,1706.0
Khanā Chāh,37.2722,49.6967,1683.0
Mozhdeh,37.2608,49.7319,1677.0
Pāchkenār,37.2731,49.6525,1638.0
Pā’īn Maḩalleh-ye Foshtom,37.2811,49.8686,1636.0
Dāfchāh,37.3386,49.6919,1632.0
Bālā Maḩalleh-ye Gafsheh,37.3372,49.8197,1533.0
Qal‘eh-ye Amīrīyeh,32.6431,51.5419,1510.0
Kondor,35.8461,51.1097,1498.0
Eshkīk,37.3628,49.6236,1451.0
Belesbeneh,37.2797,49.7444,1420.0
Jūbaneh,37.1714,49.7056,1407.0
Jīrsar-e Chowkām,37.4042,49.5969,1392.0
Barkā Deh,37.3031,49.745,1385.0
Velāyat Rūd,36.0808,51.3808,1382.0
Kenār Sar-e Bozorg,37.3178,49.7878,1369.0
Sīāh Sang,35.7267,51.7772,1350.0
Falak Deh,37.2169,49.5506,1329.0
Alvār-e Bālā,38.1503,46.1764,1309.0
Shahrestānak,35.97,51.3536,1307.0
Nashtrūd Kol,37.1961,49.7289,1304.0
Bonakdeh,37.1811,49.7339,1285.0
Kadū Sarā,37.2367,49.7689,1241.0
Fakhrābād,37.4044,49.8775,1236.0
Shījān,37.4194,49.5939,1223.0
Karbāsdeh,37.2686,49.7972,1186.0
Jīldān,37.3925,49.8453,1181.0
Mīshāmandān,37.3111,49.6769,1174.0
Khoshk Esţalkh,37.4336,49.8344,1168.0
Vīshkā Sūqeh,37.3533,49.7347,1157.0
Marz Dasht,37.3856,49.6739,1149.0
Tāzehābād,37.3906,49.6456,1146.0
Chūnchenān,37.4333,49.8528,1146.0
Emāmzādeh Bāqer,35.49,51.1856,1134.0
Fīrūzbahrām,35.6275,51.2492,1103.0
Pīshkenār,37.1469,49.7233,1088.0
Dahaneh Sar-e Shījān,37.4283,49.5831,1085.0
Ḩashkovā,37.2258,49.7525,1078.0
Balaskaleh,37.4192,49.7436,1077.0
Tūsarāvandān,37.2411,49.665,1073.0
Malek Kīān,38.0567,46.5414,1066.0
Gūrāb Sar,37.2792,49.6964,1058.0
Raḩmānīyeh,35.7344,50.6222,1012.0
Shahr-e Jadīd-e Pardīs,35.7469,51.8122,73363.0
Sārī,36.5633,53.0601,309820.0
Īlām,33.6374,46.4227,194030.0
